gene,total_counts,expressed_cells
EEF1B2,250317.5779554743,71532
NPM1,232162.7611380294,71350
RPL4,194673.36616089544,71121
MYL12A,231772.18393879116,70989
JUND,287829.13535684417,70703
RTN4,317747.32359419955,70437
NDUFB1,240550.46705664808,70246
LAPTM4A,266452.9548341055,70225
NEAT1,373848.1393165801,70080
DDX17,195601.71302668462,70041
CYB5A,388984.78316498507,69768
HNRNPA1,194040.70266431972,69712
HSPE1,279476.2305674831,69560
HSP90B1,242941.57841989954,69547
SLC25A6,209859.98764516518,69513
DBI,263939.4704278911,69496
YBX1,199760.3122310858,69172
TXN,280137.4642005611,69128
YWHAE,197205.63360690553,69066
SEC61G,218204.4149768078,68879
SUB1,211324.97806115024,68801
SSR4,216750.89801859198,68605
ATP5F1E,529917.7698090227,68524
NDUFA3,207482.21473951655,68469
BSG,262146.1329789103,68462
HSP90AB1,210889.15102228135,68458
NDUFB11,203276.4813212474,68454
MIF,308946.1850742931,67899
ATP1A1,524792.6660887508,67814
NDUFC1,224956.56887992917,67602
APP,259220.5817974146,67592
PCBP2,175135.55026693983,67479
CDC42,169631.89714792673,67456
PRDX2,231357.2273188785,67352
EEF2,160770.94708752658,67350
ATP6V0B,291380.98300156515,67070
CYSTM1,308538.594783242,66441
MZT2B,166393.1162135445,66419
CALR,187931.00248338538,66272
CLIC1,190394.29204543136,66122
NDUFC2,210073.17508335665,65995
APLP2,205103.72937217183,65939
GUK1,168442.71501485692,65843
GNG5,187807.56776238247,65484
NDUFS6,180334.36902084513,65448
ATP6V1G1,193214.49512966967,65373
PSAP,179782.24883479573,65359
HSPB1,224156.52448406207,65320
NDUFA11,171866.12442419128,64954
DDT,195548.4874426954,64933
SLC25A5,239141.18662551104,64870
FIS1,173228.95156401704,64759
HNRNPK,141137.25923216724,64518
DAD1,182411.06433952865,64409
PHPT1,180421.33028320715,64299
NDUFB10,177300.41026142164,64177
PKM,217497.29000108576,64162
LAMTOR4,151419.6550278457,64119
HSPA8,172240.8907252797,63925
RACK1,345272.09408201254,63858
PPIB,171996.74606860828,63792
N4BP2L2,144646.929704464,63665
CYBA,268930.8744716045,63506
ATP6V1F,199161.8281656775,63501
PRDX6,185889.00296529505,63367
RPS27L,193027.05273049322,63091
MORF4L1,149063.20149208503,62917
NEDD8,154923.3566674668,62773
DEFB1,3108277.2201991,62693
SEC61B,165958.21645518427,62640
CSTB,180729.95182676017,62630
VAMP8,166678.8462374955,62578
MRPL33,218951.47238324618,62539
WDR83OS,156892.45751605273,62301
CD9,343352.5046344234,62283
HMGN1,159073.23110279732,62131
BRI3,157477.35415817538,62116
SAP18,159849.48357860866,61926
NDUFA2,160045.30636150617,61825
CCNI,146896.13051647737,61775
BLOC1S1,148408.38152103027,61739
HMGN3,181046.6920212627,61638
LAMTOR5,179657.9286767591,61609
TMEM258,152618.76286496385,61385
CUTA,152445.74078142925,61373
POMP,160144.22470083748,61273
CANX,150864.28508197,61240
NDUFB4,172640.68514141484,61066
DYNLRB1,151046.19435596056,60914
EIF4A2,127438.19118052225,60794
ATOX1,163660.44366717007,60758
MRPL41,156741.44133718873,60715
TRMT112,142522.12364279362,60406
ST13,136920.53092604017,60386
AURKAIP1,139774.28587136796,60242
YWHAB,132158.5390915909,60221
SPCS1,167366.95139452006,60196
PARK7,152236.88669456568,60096
ARPC3,150848.56603406242,59991
FKBP2,167759.55200236503,59812
PTMS,151366.1055475726,59749
RBX1,142199.52707998102,59747
ATP5MG,301865.39422032697,59448
MINOS1,204344.2187960497,59306
ARL6IP4,120613.9346618632,59224
CD59,178683.56006591956,59030
CD74,405652.33309826796,58996
TBCA,144459.05940258625,58837
EIF4G2,121800.87473405442,58787
NDUFS8,150367.98414248024,58682
HSBP1,155264.7842887475,58679
PTGES3,126752.36760632138,58650
ISCU,153203.50888858776,58590
NDUFB3,162000.02820161104,58502
SPP1,1537305.1167213344,58366
PGK1,130162.45940196591,58352
RAC1,134108.50353681686,58321
SRP9,135835.68348900645,57963
C19orf53,136462.49575984976,57938
COX5A,181407.17374378847,57895
HNRNPDL,116191.49195393987,57895
NDUFB9,154469.2677025337,57726
ATP5MC2,244148.1547716657,57459
IFITM3,218905.52602627972,57345
SPINT2,193890.16391429698,57148
GABARAPL2,144547.00430668241,57108
SPCS2,131215.9530836558,56922
RPL36A,158790.1597191542,56882
RABAC1,125566.16246985897,56821
NUCKS1,119636.01506603532,56661
ROMO1,127572.52213563742,56643
WFDC2,1377375.2436679204,56583
SRSF5,114318.0097805516,56562
C4orf3,119359.10431447384,56522
CLTA,132743.00980712572,56410
ATP5F1D,251471.70562906968,56331
TSPO,138267.70781996526,56303
VPS28,113938.56800353767,56158
MAL,331220.39103973773,56098
ATP5ME,247608.13534109277,56040
ELOB,221800.48598288736,56009
SET,115356.3193131103,55993
ANAPC16,122679.68175814267,55807
NDUFS7,126525.55620147957,55652
SH3BGRL3,157613.18872940738,55581
ERH,129749.89851953635,55565
MRPS21,122579.48284753006,55526
SNRPG,131527.25866029103,55521
ACADVL,115243.93952532987,55364
UQCR11,234067.09446308488,55348
CIB1,124235.78268749191,55313
PCBP1,107930.11430345173,55282
VDAC1,131872.5522246398,55279
LDHA,152066.6578350463,55240
PPP1CB,121519.78826868713,55205
EPCAM,254815.3996106057,55142
MT1E,281873.7040770537,55103
ZNHIT1,116767.74148194889,55050
PSMB1,116477.19606882981,55008
SRSF3,107594.47347694785,54987
HNRNPU,106388.52991784821,54982
SCAND1,111522.37503740017,54920
SMDT1,128920.42619279442,54882
EID1,125189.32705049188,54804
TSTD1,142092.28251406577,54798
RHOA,114657.19717365789,54747
SCP2,117538.49578574511,54658
C19orf70,139203.32387554675,54622
MPC2,139720.1199063071,54528
ZFP36L1,137593.1417642008,54440
PCSK1N,243894.16660852998,54417
CDH16,243973.4814304487,54381
PRDX3,124541.22994627322,54304
CYCS,169786.42919272458,54201
NDUFV2,129471.41776093986,54147
NDUFA5,130790.35842420225,54132
APRT,110876.0307879952,54115
RPL31,113997.52092333265,54007
ATP5MC3,273123.78370579606,54002
SNX3,120489.41591030218,53948
SEC62,125195.58186259045,53882
CLU,468385.9183094094,53789
ERP29,115174.34804102528,53712
SON,103155.27674810712,53625
MT-ND6,105743.6538252598,53548
ECHS1,145012.97364498736,53458
ANXA5,115429.08380792393,53355
NDUFAB1,128162.46626476213,53331
TOMM20,105269.75670468633,53260
BCAM,197555.6554679473,53210
HMGN2,111475.3515444957,53186
COL18A1,143022.46308442636,53125
KTN1,117939.94449633194,53070
NDUFB5,127516.28630729472,53069
SRSF9,111046.77884756234,52982
CD46,110198.2613903665,52972
SUMO1,113163.83739130148,52953
ATP5PF,237146.50252451666,52845
PNKD,118768.96028706453,52764
PABPC1,98602.16741650188,52688
GSTK1,102302.24436486563,52649
ATP5MD,243871.928036077,52622
CKB,257408.31793868096,52466
UQCRFS1,123057.10199894686,52406
PSMA7,110446.21498212298,52347
NPC2,129176.98069069858,52225
ITGB1,125360.79437202013,52172
WSB1,129611.20866205366,52114
VAPA,106217.9837770275,52015
ATP5IF1,207649.7461960863,51950
HNRNPA3,93984.08050730245,51915
COX14,110356.31366437564,51816
ACTN4,103193.03487746885,51785
ETFB,112485.65312081251,51740
PDIA3,102265.40222140915,51711
HLA-E,130917.56799164794,51666
NME3,94428.4394547749,51616
YWHAZ,98624.99673039475,51606
HSPD1,112738.16113355088,51576
COX17,115585.892405534,51520
AES,108391.27315413147,51488
GHITM,108286.27903599293,51468
PET100,101842.56654902126,51277
CSDE1,91857.98152130166,51192
S100A13,171250.124375622,51183
SYNE2,122188.73836490665,51167
RBM39,91116.25225554817,50978
ARGLU1,91459.9657506478,50788
GLS,118569.37827501168,50645
RAN,110218.12132799342,50611
MRPL51,102547.4301124231,50596
HIGD2A,106736.03920975099,50504
REEP5,106313.53802964541,50483
COX7A2L,106961.81801298095,50349
PRR13,103039.96748092698,50316
OCIAD1,102204.60173770206,50279
SDC4,124912.59426800266,50175
DYNLT1,111440.35704964539,50153
UBE2D3,89205.46838081238,50139
SERP1,98174.95838595535,50138
SEC11A,105590.64734313526,50022
GTF2I,94217.6281994222,49789
TUFM,96428.59682204551,49777
PSMB3,95698.69641136573,49741
H2AFZ,108707.2540654151,49708
HSPA5,120230.1174560859,49697
COPE,93991.8371641976,49664
CHMP2A,96265.03504011854,49656
NOP10,98616.83602287002,49649
MRPL20,97459.48825118903,49617
ADI1,118943.71464376328,49598
MT1X,348307.2007872291,49596
NDFIP1,96531.34078726891,49516
KRT10,104240.33148952494,49485
NENF,102412.21522180393,49343
PNISR,92298.21210440462,49293
MRPL52,96927.13624164193,49266
MPC1,147152.85825810028,49147
ATP5MF,163317.72371110966,49119
CD164,90716.1120764287,49098
TMEM14C,105896.1684854809,49088
SLIRP,104568.93334445088,49077
TRAM1,95191.76652923824,49063
BTG1,103954.8920231399,48977
KCNJ16,146546.86461329044,48972
MDH1,104737.12882518569,48935
ATP5MPL,164937.13955083973,48883
SF3B1,80104.45467286032,48793
PRELID1,93034.0346974812,48782
ALKBH7,100191.6114400065,48771
DCXR,126081.78280981627,48730
SNRPD2,94936.04473593715,48730
NDUFA6,116086.771777306,48714
SUCLG1,125708.52457246375,48711
PSMB6,96646.70580295718,48680
EZR,109125.22856454412,48663
RPS20,91982.26801365158,48636
SERBP1,84588.29928388818,48626
COA3,127662.30125666247,48624
PHB,94529.21907605171,48614
GADD45GIP1,89910.5812486438,48495
SQSTM1,99634.76768024085,48432
CAMTA1,101103.12857104608,48389
ATP5F1B,171860.45774558498,48377
NDUFV1,93764.54075387634,48338
ASAH1,116161.61262036476,48314
ATP6AP2,134668.23912493902,48241
ANXA11,95764.31619021443,48171
NAP1L1,88764.06694431012,48048
SNHG8,99151.74124879413,47997
EIF4B,83997.67256479645,47989
OCIAD2,137573.71690023094,47931
DNPH1,103199.2040768101,47884
C9orf16,105134.85103456693,47850
TMEM205,97315.47897708637,47808
ARF1,86041.50306414103,47804
DPM3,93885.23796278662,47699
MUC1,185505.49887391753,47679
SPTBN1,100749.07554843769,47665
SSR2,88420.26352213655,47654
BRK1,92553.04176341894,47627
NCL,86491.71218412292,47568
KRT18,204019.740745568,47561
CAPZA2,86416.49344007301,47515
EIF3E,82181.48003019215,47508
SFPQ,82838.75272818499,47486
PNRC1,86923.71243679026,47467
C12orf57,93841.4754812015,47437
CNN3,96682.52550181164,47435
ENY2,90724.2551807987,47431
SDHD,97649.60957629784,47400
BCAP31,89018.88587393552,47385
TMEM141,103927.23357642902,47269
TIMM13,92500.85803274791,47224
PDIA6,92542.66127216766,47213
SRRM2,80721.11316767459,47194
LSM7,87220.50930935639,47169
FKBP1A,91943.90530439837,46955
FCGRT,90412.89189722424,46817
DAZAP2,85579.83729495367,46797
CA12,201366.93748045224,46761
NDUFA12,102158.06967327697,46704
TMEM50A,87051.25682150383,46678
CAPNS1,80723.26625402935,46661
TMEM230,86371.12317656059,46586
HNRNPC,80600.0006249227,46573
NAA38,94746.34236412695,46567
SRI,98942.94190781594,46532
ARPC2,86250.07120536898,46433
PSME1,84575.62165865822,46433
LAMP1,82945.70790392638,46417
CD24,358416.8787890859,46405
AP2S1,84169.96522970524,46258
ZFAS1,91612.07745135557,46223
PCBD1,107406.07062872419,46180
PRKAR1A,81937.82398979216,46146
TECR,89273.34721294187,46032
EIF5A,80276.32915986828,45955
TUBB4B,99109.39605524077,45867
C11orf58,80458.35139362206,45782
SF3B5,81774.16064873722,45768
GPX3,501088.3620589281,45730
ALDH1A1,107296.95169842838,45729
SH3BGRL,85798.46221867185,45687
TMEM219,83007.21391254982,45671
TRAPPC1,86457.18663613257,45661
HERPUD1,96807.06883524683,45569
EIF3G,78357.61378319986,45480
MDH2,88334.16952618856,45420
ANXA4,112746.5751539666,45407
CLTC,78327.21927665066,45406
NFE2L2,108887.5103923885,45383
EIF3F,78390.80300257498,45348
TXNDC17,91214.90305359277,45346
ATRAID,86769.74470754957,45328
PGRMC1,89178.8985486194,45323
CTSC,100268.51391440385,45278
COX20,95281.43049294657,45251
IER2,198110.67048930094,45206
AP2M1,73909.28577190271,45190
AHNAK,91913.02176356781,45177
AIF1L,120045.26786627888,45169
GRN,88639.48191219801,45146
IFITM2,108135.86794684631,45121
NDUFAF3,84434.79827911902,45117
SRSF2,74037.15427493885,45077
TMCO1,86978.82796083594,45059
MRPS6,123420.44683622532,45018
ECH1,84348.75988675575,44972
ATP5MC1,155730.88552234584,44935
UQCRC1,80601.67409015544,44886
MT1G,1139377.3785775965,44851
HADHB,89174.56110150255,44840
UXT,80296.82457245313,44806
CYC1,90356.23617786034,44798
VAMP2,83548.7904851786,44786
ZBTB20,104345.4676691047,44748
HIGD1A,108615.85311581597,44632
TGOLN2,79108.51343522333,44612
CAMK2N1,130916.91353759699,44610
SYPL1,81510.11419585365,44539
PPP1R14B,95699.94220516775,44493
KDELR1,81760.88748855113,44425
TSC22D1,129768.62840099937,44343
TUBA1B,101223.83381234716,44311
POLR2I,82240.0404431673,44299
TAGLN2,95421.68009657855,44288
SOD2,123135.9168949089,44262
SNRPD3,79126.58746877011,44255
VDAC2,86661.98905732343,44242
ACAT1,95480.95277365774,44213
TMEM14B,88920.02971676315,44210
RAB2A,76486.97928302248,44167
TMED10,81785.86753771782,44133
TIMM8B,79737.82955743148,44088
ESD,82208.46610377854,44043
GSTO1,81550.80947853572,44028
JUNB,211600.15100989433,43996
LEPROT,83570.13487659875,43972
PSME2,81104.06169240794,43937
SSBP1,81697.90706585917,43901
EIF1AX,76722.16808154693,43893
C11orf54,113782.05694659307,43848
SNRPE,85597.37794227015,43825
GTF2H5,82747.11859818251,43789
ANAPC11,78550.32877264293,43782
TMEM176B,135202.81875203628,43719
VPS29,79330.00162865674,43638
SAT2,82203.89852219516,43622
SERINC1,72950.11473038436,43585
NDUFB8,117436.95366997243,43582
CEBPD,145849.42622472224,43567
SRSF7,73354.43684466167,43472
MRPL54,76150.56081736372,43453
TMEM160,72433.58701587954,43410
POLR2K,81319.6668033745,43384
C12orf75,174855.29928308024,43331
FAM96B,82172.91253370664,43258
BLVRB,84993.67099680023,43238
HSPA1A,166951.0405249071,43176
COBLL1,119557.6615862028,43122
ANXA2,136251.46892821667,43111
TUBB,83728.85608426634,43077
TPM1,153769.28802890526,43060
CD151,94335.92485183083,43019
CTNNB1,76181.78105410349,43012
RSL24D1,75122.34608142616,43010
HINT2,80145.76636155104,43003
RPS19BP1,69627.18133757108,42983
KRT8,136335.72158448273,42955
CALM3,73717.17409077002,42952
EIF1B,79560.99929992759,42944
ARL2,77686.15879789242,42911
RHOB,125126.38798517303,42809
PIGR,194247.7643611212,42767
GLRX5,83986.8309870776,42744
JTB,69573.42664939222,42714
RNH1,71811.29840931826,42644
PFDN2,76176.21957405808,42639
SMS,79994.19310455152,42620
LSM3,79614.36514677478,42612
BANF1,77177.7135244512,42558
CISD1,82412.64106167424,42539
PTP4A2,73292.0619822254,42521
STUB1,67507.51039789667,42488
LUC7L3,68153.49547775122,42407
LAMTOR1,73301.25000274702,42386
IVNS1ABP,99850.94974040955,42354
RHOC,83533.3176623845,42269
PSMD8,73369.38760692967,42176
SDCBP,74014.14824497601,42166
LAMTOR2,73145.58117073592,42109
FAM162A,82780.16205149234,42094
NSA2,71264.69564616474,42014
TM9SF3,70173.91353906578,42013
UQCRC2,73622.57600077057,41941
ATP5F1C,116515.60335320549,41825
FOS,312305.01007373945,41780
CRYAB,326598.5928746076,41644
TMEM123,70744.88519161337,41622
KRTCAP2,77677.3691395406,41605
PTTG1IP,75053.17088778004,41577
CHMP5,72630.63924799032,41549
GSTM3,150949.12333104285,41546
OSTC,73044.28952813354,41450
LMAN1,73371.18328905902,41449
TAX1BP1,66877.73383100954,41424
CA2,161660.32349972543,41412
CAPZB,65962.38742730158,41410
SELENOW,107858.52034148877,41378
C1QBP,71559.25679696372,41378
EIF6,73092.4832088694,41370
YWHAQ,70678.46439221138,41338
CTSH,108951.0688119447,41316
RER1,73618.66975469171,41262
ARL6IP1,81515.45645771787,41242
COMT,79169.39191117411,41236
RHEB,76009.89190492024,41224
SRRM1,64788.43846215237,41039
JUN,175115.48905717867,41014
SIVA1,68412.04590000029,41005
DRAP1,66002.97815334483,41002
SSR3,68716.01573871683,40972
RBM3,69618.31090628423,40969
DNAJA1,73296.29442496493,40954
IDH2,94690.73273557665,40923
ITM2C,129643.72850293793,40909
ACTR2,64178.310427193785,40861
TMEM256,69354.42689807482,40832
UBE2B,67290.31675432452,40815
SF1,65893.20250354864,40811
HP1BP3,64030.493876765264,40808
TTC3,71089.64891646682,40783
ADIRF,267710.9718633877,40750
FKBP8,63934.464924144726,40746
MRFAP1,67992.60694967247,40729
CBX3,66577.52745454317,40676
CAST,64883.33834208793,40649
RNF7,70909.08598205086,40589
MLF2,67377.93994534288,40577
SEPT2,68476.44263937106,40556
ZFP36L2,88876.10103486449,40554
CNBP,67290.1231734121,40530
SYF2,64421.36160724731,40509
FUS,62209.18302300986,40509
RAB11A,68741.14572647423,40499
C4orf48,92262.18274427053,40461
PABPN1,63682.77265287007,40455
ATP5F1A,105781.3042464563,40454
COPS9,94005.47869234503,40439
BEX3,156302.9606944521,40437
CAPG,102425.80621583395,40383
NDUFS2,68316.54787599822,40379
MRPL34,73039.6907296076,40379
LMAN2,66978.7474368016,40364
LRPAP1,73376.7301451937,40357
UFC1,70803.91480930807,40322
CNDP2,69210.36502953873,40313
PAIP2,63143.25660896641,40293
EIF5,65294.094216112084,40293
SRSF11,62918.60185086544,40258
LGALS3,163758.76452119063,40177
SNRPF,67105.4271787712,40172
LSM4,69604.02234910855,40072
H2AFV,64028.59718534988,40066
TALDO1,68476.56555598037,40024
ECI1,76814.86084061462,40023
ARHGDIA,61590.31668749073,39999
TPM3,64714.23440896102,39974
TAF10,66365.23869406861,39938
MRPS36,74700.9877635153,39919
HIST1H4C,115079.811150344,39888
SFT2D1,67625.35290485363,39870
TMED2,62205.273894628925,39867
POLR2J,67136.66902621424,39831
HLA-DRA,296750.57671976055,39814
SARAF,83043.43762738872,39795
GLRX,83322.71122447707,39765
ATP5PD,114748.91081239199,39735
WNK1,178702.59757537255,39735
VIM,208411.70551120455,39683
EIF3H,65540.50365948096,39637
HNRNPF,62943.35192431014,39622
TM9SF2,63694.234999723674,39610
RNF181,66438.20999064644,39599
RPL17,127362.16817435525,39594
ARF4,70541.75082733005,39593
BAG1,73344.09472795716,39571
P4HB,62292.763556267644,39553
MYO6,68579.71580482354,39538
ATRX,63401.751117429485,39533
UBXN1,61408.85547667715,39526
METTL9,68784.81702960923,39513
SSU72,63681.7724890109,39484
HIPK2,73564.98548432377,39448
CHURC1,62268.088378484856,39432
ATP5PO,119382.5304396296,39400
PGAM1,66254.65646110123,39361
UBXN4,64008.921284740485,39331
NDUFS3,67437.24775913433,39289
BDH2,71884.2284525018,39276
HNRNPM,60415.652962191016,39264
ACADM,69491.04961660366,39237
SLC3A1,108889.44443204343,39229
MRPS34,61102.29060507775,39181
H2AFJ,67260.60314521688,39175
CXCL14,199859.31534729057,39166
HLA-DRB1,255044.83571450337,39142
CSNK1A1,57323.39141609689,39104
TMEM176A,111180.47073718514,39097
TRIR,80178.50178234723,39072
SEM1,89154.81116019,38940
VKORC1,66424.42579823274,38917
IL6ST,74725.42718367348,38899
FAM107B,80464.53005276508,38761
LAMP2,62915.81775499152,38723
ARL6IP5,61936.10123628639,38717
HNRNPD,58365.60089818889,38712
AKAP9,68207.30352817311,38708
RTN3,66163.51903294103,38706
XRCC5,60229.16811312783,38649
TMEM238,76896.291273889,38645
TMED4,65927.53966121274,38634
MT1F,127493.83115446728,38590
RBM8A,62052.23002319862,38588
RAB13,75242.12574056255,38578
MOCS2,71435.3214724294,38539
TMBIM4,89586.13871614981,38531
DUT,65401.04620657507,38466
PAPOLA,57124.03515405303,38428
CYS1,87870.74472927934,38405
CTSL,68150.54621031313,38385
MSN,61084.53644089627,38308
LMNA,72004.8391018726,38275
BZW1,58230.0374269246,38236
MAGED2,66965.66978188396,38209
LGALS3BP,71563.98211187191,38180
LSM5,64180.86261412332,38169
DNAJC19,70270.57240158974,38148
DDX24,58149.215375008775,38036
HSPA9,62402.21741917827,38017
DDX3X,56474.842792055875,37951
GNB2,57571.77943804341,37948
PSMA4,60931.07413856187,37936
CHD9,58135.944444866866,37924
BCL7C,64130.812558869904,37919
CRIP2,82030.55169343893,37914
UQCC2,66009.91975203509,37845
CBR1,71183.67339216275,37792
LMBRD1,62322.20322154288,37763
MOB1A,55300.91461962184,37746
SDHC,62368.28551574783,37732
TMEM147,62962.316878348625,37647
PSMA1,58240.19523995356,37631
EMX2,78957.0023223418,37623
ARHGAP29,77470.34046353196,37600
DUSP1,150052.45658051907,37596
ZNF706,60483.33230570963,37551
S100A4,236908.05499628943,37527
CNPY2,62470.70415703187,37498
APOE,416975.4135697991,37487
YPEL3,57214.27919762404,37473
NDUFA10,59399.447525923315,37418
DPP7,57786.6641453661,37387
NDRG1,86977.36257962394,37350
SERPING1,83218.15815282048,37315
PGLS,60158.568309060276,37306
EFHD1,86459.4877973012,37280
CTSB,71231.79491438554,37246
ZFAND5,76087.62330694942,37227
GPBP1,55635.824173244924,37197
RAB1A,56840.95449652042,37196
SELENOP,100715.84185455051,37141
SCOC,61827.47303295185,37113
TCEAL4,61897.31208901272,37109
SOX4,110909.43496646783,37084
ADH5,58222.51735294611,37068
PSMC5,56672.18355417828,37056
